인허가일자,영업상태구분코드,영업상태명,폐업일자,구,법정동,도로명전체주소,사업장명,업태구분명,좌표정보(x),좌표정보(y),행정동명,행정동코드,소재지면적,교통 수,집객시설 수,교육 수,경쟁자 수,인허가 영업,인허가 폐업,인허가 영업+폐업,타업종비율,타업종경쟁자,버퍼내폐업비율,영업기간,,아파트 세대수,제곱미터 당 임대료,임대료,총생활인구수,점심저녁시간대 생활인구수,골목상권,발달상권,구분불가,전통시장,관광특구,생존확률,생존예측
20220302,0,영업/정상,,서초구,서초동,"서울특별시 서초구 서초대로74길 23, 2층 203호 (서초동, 서초타운트라팰리스)",오한수 우육면가 강남삼성타운점,중국식,202326.1457,443714.1778,서초2동,11650520,91,103,151,489,158,1858,1987,3845,0.958907672,3687,0.516775033,152,1,12733,40638.83313,3698,46519.30631,53812.22095,0,0,1,0,0,0.10650014,0
20220303,0,영업/정상,,서초구,서초동,"서울특별시 서초구 남부순환로347길 23, 1층 (서초동)",명정루 양재,중국식,202688.2595,442587.6869,서초2동,11650520,248,71,23,134,47,816,852,1668,0.971822542,1621,0.510791367,151,1,5077,40638.83313,10076,46519.30631,53812.22095,0,0,1,0,0,0.10650014,0
20210223,0,영업/정상,,서초구,서초동,"서울특별시 서초구 서운로 133, 2층 (서초동)",중식당 표량,중국식,202116.6851,443685.478,서초2동,11650520,298,119,154,553,143,1673,1827,3500,0.959142857,3357,0.522,524,1,12645,40638.83313,12110,46519.30631,53812.22095,0,0,1,0,0,0.10650014,0
20190905,0,영업/정상,,서초구,서초동,"서울특별시 서초구 서초대로38길 12, 지하1층 (서초동, 마제스타시티, 힐스테이트 서리풀)",발재반점 서초롯데마트점,중국식,200438.9929,443124.5944,서초3동,11650530,132,86,26,216,72,792,736,1528,0.952879581,1456,0.481675393,1061,1,3566,40638.83313,5364,64549.36189,75810.43776,0,0,1,0,0,0.18529493,0
20191212,0,영업/정상,,서초구,서초동,"서울특별시 서초구 서초대로48길 103, 1층 (서초동)",홍등,중국식,201040.4524,442917.0711,서초3동,11650530,112,103,34,216,92,1041,988,2029,0.954657467,1937,0.486939379,963,1,4730,40638.83313,4554,64549.36189,75810.43776,0,0,1,0,0,0.18529493,0
20211227,0,영업/정상,,서초구,서초동,"서울특별시 서초구 서초대로46길 19-17, B01호 (서초동)",소림마라(타운)서초점,중국식,200905.9349,443292.8935,서초3동,11650530,55,93,37,237,84,928,910,1838,0.95429815,1754,0.495103373,217,1,5456,40638.83313,2235,64549.36189,75810.43776,0,0,1,0,0,0.18529493,0
20200723,0,영업/정상,,서초구,서초동,"서울특별시 서초구 반포대로21길 27, 1층 108호 (서초동, 화원그랑빌 아파트)",샤오짠 서초점,중국식,200680.7288,442796.9771,서초3동,11650530,58,97,27,201,75,866,825,1691,0.955647546,1616,0.487876996,739,1,6632,40638.83313,2349,64549.36189,75810.43776,0,0,1,0,0,0.18529493,0
20210518,0,영업/정상,,서초구,서초동,"서울특별시 서초구 반포대로 38, 와라빌딩 2층 (서초동)",이비가 짬뽕(서초점),중국식,200984.4119,442413.0823,서초3동,11650530,226,72,17,151,66,753,669,1422,0.953586498,1356,0.470464135,440,1,6127,40638.83313,9179,64549.36189,75810.43776,0,0,1,0,0,0.19898562,0
20200601,0,영업/정상,,서초구,서초동,"서울특별시 서초구 사평대로56길 7, 지하1층 B116~B117호 (서초동, 서초한일유앤아이주상복합)",힘난다짬뽕앤버거 신논현역점,중국식,202014.2066,444556.4871,서초4동,11650531,63,114,187,551,130,1647,1928,3575,0.963636364,3445,0.539300699,791,1,14271,40638.83313,2542,43201.88118,49722.93653,0,0,1,0,0,0.10650014,0
20210826,0,영업/정상,,서초구,잠원동,"서울특별시 서초구 신반포로43길 26, 1층 (잠원동)",만다린,중국식,201486.2521,445461.5764,반포1동,11650560,54,75,112,441,85,1320,1437,2757,0.969169387,2672,0.521218716,340,1,18349,41246.32875,2227,33044.02575,34163.0791,0,0,1,0,0,0.10650014,0
