교육 수,교통 수,버퍼내폐업비율,아파트 세대수,임대료,점심저녁시간대 생활인구수,집객시설 수,타업종경쟁자
119,95,0.39938713,16148,5191,14361.50336,18,950
149,90,0.559388039,3916,3418,26465.70576,13,3476
322,69,0.313797314,10311,595,23158.27997,13,780
319,71,0.307065217,10404,1077,23158.27997,13,707
178,71,0.506829619,8047,2229,55277.9273,6,1331
213,39,0.523871812,10366,948,27768.72215,7,1491
77,83,0.37005277,1063,2728,12294.54395,22,1445
183,79,0.546860783,9562,2090,23624.75283,24,2120
171,77,0.542226488,9562,3701,23624.75283,24,2011
168,73,0.543352601,9811,905,23624.75283,22,2000
205,81,0.539505188,9294,1406,23624.75283,25,2409
171,73,0.542829644,9811,3439,23624.75283,22,2001
171,73,0.542829644,9811,7879,23624.75283,22,2001
204,77,0.543627451,9828,3142,23624.75283,22,1967
307,61,0.322074789,9362,4279,31098.29863,12,786
88,45,0.49611856,2658,359,13384.80088,7,1363
191,87,0.534456929,7812,2584,26737.12397,23,2571
162,67,0.358032379,7901,5594,28056.87549,11,1437
161,69,0.367061356,7901,1117,28056.87549,12,1675
161,68,0.368281001,7901,2166,28056.87549,12,1696
124,83,0.380338078,6041,7244,28056.87549,12,2049
160,69,0.36409966,7901,15005,28056.87549,11,1590
164,66,0.348395547,7901,7580,28056.87549,11,1363
165,65,0.363134658,7901,1454,28056.87549,12,1631
164,65,0.359240069,7901,3531,28056.87549,12,1564
161,69,0.367061356,7901,1015,28056.87549,12,1675
163,66,0.347882736,7648,5437,28056.87549,10,1371
160,69,0.36409966,7901,1678,28056.87549,11,1590
136,75,0.37619768,7491,2707,28056.87549,11,1795
164,65,0.359240069,7901,1218,28056.87549,12,1564
170,70,0.359452055,7901,2125,28056.87549,12,1645
165,67,0.357314149,7901,3336,28056.87549,11,1496
155,71,0.371368199,7901,1455,28056.87549,12,1710
24,43,0.438799076,2295,4315,35491.54168,23,831
61,32,0.519294377,810,686,13279.56162,4,875
31,87,0.367353308,1081,2295,35105.88129,60,3031
189,136,0.445478723,16579,2340,22681.831,15,1440
189,136,0.445478723,16579,6347,22681.831,15,1440
179,85,0.530997305,7368,1727,26737.12397,21,2857
167,80,0.536743808,6874,772,26737.12397,18,2373
79,144,0.499846201,4436,1860,11153.65005,22,2898
63,56,0.535014006,1576,2434,34418.83947,5,658
64,55,0.5371669,1576,23581,34418.83947,5,657
211,71,0.509025271,8503,3066,33995.93147,11,1606
157,65,0.525423729,8618,4269,33995.93147,10,1596
102,93,0.381397638,6193,3213,8553.058892,30,1921
91,82,0.467219917,4468,606,32500.0954,11,1141
124,84,0.449944383,7810,1120,18553.493,7,1748
219,78,0.489309713,13176,1133,20092.47001,10,1562
141,119,0.41346759,13931,2118,37557.40959,9,1529
455,54,0.500398406,9001,1300,19597.38675,12,1218
174,94,0.328554361,0,1099,16595.98649,12,815
23,67,0.357259915,1081,4605,51885.59884,57,2891
215,105,0.527823241,8292,606,20835.35135,8,1173
74,124,0.508738481,5853,1708,48294.13887,21,2670
74,124,0.508738481,5853,3568,48294.13887,21,2670
100,109,0.502237522,5778,2244,48294.13887,12,2422
77,125,0.513559322,5853,1536,48294.13887,14,2497
74,124,0.508738481,5853,3835,48294.13887,21,2670
205,67,0.52574698,11841,2587,33995.93147,10,1520
223,76,0.532949791,16070,970,33995.93147,15,1848
171,66,0.52208589,9583,1242,33995.93147,10,1577
231,73,0.471544715,7529,1333,14703.70065,6,951
98,88,0.489010989,5901,914,23667.05304,8,1235
179,81,0.460381143,15648,369,27407.09329,7,957
126,96,0.485132383,9694,1667,34851.63155,24,1994
132,101,0.475377284,9217,1201,34851.63155,23,2017
115,90,0.485985161,10429,1458,34851.63155,24,1974
133,99,0.476834768,10099,2003,34851.63155,23,1973
119,58,0.551312649,9536,894,15749.29261,6,805
127,65,0.539499037,9565,391,15749.29261,6,998
108,54,0.537572254,8424,2585,15749.29261,3,665
107,51,0.549079755,7562,1782,15749.29261,3,623
157,119,0.47388535,4596,1981,16017.52461,9,753
167,121,0.481942715,6183,2299,16017.52461,7,770
162,115,0.482142857,4720,2476,16017.52461,7,751
155,140,0.476658477,3633,892,16017.52461,9,782
147,86,0.558583106,3871,1064,18597.21201,7,1385
138,95,0.523890063,2781,1540,18597.21201,9,2259
148,87,0.555030385,3888,1830,18597.21201,8,1393
145,86,0.540767386,2916,561,18597.21201,7,1576
97,82,0.534246575,7925,1321,47422.94108,4,914
729,78,0.534472934,14831,3735,30970.59425,20,1679
226,58,0.496173469,8673,2048,52943.28146,74,3053
230,59,0.500296033,9262,1968,52943.28146,86,3291
497,73,0.556145675,18186,1730,18042.05803,16,1256
351,64,0.47578125,9134,1284,19520.16563,15,1229
195,91,0.456081081,4149,663,44660.5002,13,1428
184,69,0.475104979,7337,1083,44660.5002,14,1606
184,68,0.473305339,7337,2953,44660.5002,15,1606
147,113,0.532402792,9961,1701,27915.81412,5,966
147,65,0.487804878,8190,3208,17915.96462,10,1275
1420,73,0.510649771,14186,9632,49884.88825,48,3546
1422,71,0.503995591,13739,3174,49884.88825,47,3468
169,145,0.486521181,10954,1908,17973.59103,10,749
189,91,0.319098458,0,1624,16595.98649,15,821
112,71,0.327586207,1207,5623,15798.86142,16,790
201,109,0.491368681,14228,2106,34152.22118,20,1495
93,95,0.540816327,9384,840,27915.81412,6,667
162,111,0.45986723,12590,2746,12993.74105,12,1548
147,76,0.581395349,12855,3299,27915.81412,8,1036
151,80,0.580348944,12855,1853,27915.81412,8,1049
247,64,0.452877925,10114,9999,38110.8177,18,1528
121,100,0.486925795,8640,1132,18022.5886,19,2200
121,87,0.491878384,10049,1808,34851.63155,18,1934
152,100,0.566141193,3621,1232,18734.86704,6,1369
277,90,0.472222222,13484,4610,18178.5695,12,1020
147,69,0.472388556,5952,803,19040.65528,12,1443
172,79,0.459644323,6453,1178,24634.25263,15,1409
126,55,0.464788732,2166,1641,44660.5002,7,1845
407,91,0.533424284,7889,1519,15402.92528,13,1403
118,74,0.489228631,8850,3889,19040.65528,16,1380
118,74,0.489228631,8850,2352,19040.65528,16,1380
130,91,0.509421265,11515,343,34851.63155,20,1354
172,97,0.499707431,11694,1814,34851.63155,20,1563
172,97,0.499707431,11694,3731,34851.63155,20,1563
185,79,0.464838256,2329,1193,44660.5002,7,1371
196,68,0.462643678,3150,4247,44660.5002,7,1342
155,66,0.549597855,17580,1610,21634.83018,15,1445
187,70,0.552151714,19980,470,21634.83018,15,1328
120,83,0.503095975,2602,1026,14743.22995,12,1870
108,79,0.505719733,2602,715,14743.22995,12,2026
102,78,0.506487696,2758,5770,14743.22995,12,2160
130,92,0.533898305,7916,3377,12627.52288,10,1444
134,90,0.537908497,8629,629,12627.52288,10,1439
134,95,0.572708477,4009,1204,18734.86704,9,1372
260,96,0.520565553,2242,3113,23795.55066,9,1517
145,74,0.544754572,4901,699,11706.96044,8,1005
95,83,0.363226863,8040,562,14549.63085,29,2325
191,80,0.459125475,19322,3174,30733.40349,6,1005
