경쟁자 수,교통 수,인허가 폐업,임대료,점심저녁시간대 생활인구수,집객시설 수,타업종비율
109,88,461,1014,33645.9877,8,0.872960373
110,78,442,1233,23667.05304,7,0.878854626
168,79,596,1333,26986.96295,9,0.849327354
193,82,706,1241,26986.96295,9,0.849336456
78,42,489,1301,7781.640503,6,0.920972644
163,77,642,601,40993.88901,10,0.905943451
163,77,642,7944,40993.88901,10,0.905943451
163,77,642,8049,40993.88901,10,0.905943451
163,77,642,7946,40993.88901,10,0.905943451
163,77,642,7944,40993.88901,10,0.905943451
180,77,681,1524,26986.96295,9,0.858601728
208,92,913,823,55277.9273,12,0.883211679
195,67,820,1077,55277.9273,13,0.879331683
191,82,727,841,55277.9273,10,0.862787356
183,78,726,889,55277.9273,10,0.86815562
170,73,661,825,55277.9273,9,0.863234111
116,71,682,2630,21111.77682,8,0.928262214
291,91,2073,2121,25660.57992,15,0.920098847
302,106,2163,2001,25660.57992,17,0.920484466
211,88,797,774,24959.37612,8,0.881925014
226,99,805,540,24959.37612,10,0.875619152
228,99,810,754,24959.37612,9,0.875749319
226,86,783,1621,24959.37612,7,0.870412844
102,66,270,1266,23158.27997,15,0.876662636
101,65,264,927,23158.27997,15,0.876678877
103,68,260,823,23158.27997,13,0.871410737
144,75,795,3392,20560.19923,7,0.923970433
129,108,484,1569,40842.28185,8,0.875
254,101,1059,824,10859.5328,26,0.862181226
103,90,295,2305,15798.86142,15,0.888165038
196,56,924,1600,30883.73348,14,0.898550725
174,65,833,2000,30883.73348,13,0.900684932
41,62,120,886,19795.33566,7,0.887671233
239,44,1063,713,27812.43798,14,0.877811861
182,41,845,1762,34426.55575,18,0.881510417
284,103,1345,1030,23689.09175,30,0.883606557
281,103,1235,1077,23689.09175,28,0.874888691
58,66,170,1319,22650.40269,8,0.882352941
212,133,1381,6037,92063.85439,18,0.92254293
260,80,1915,3323,26465.70576,12,0.924131894
96,69,259,1376,23158.27997,13,0.883353584
85,69,228,949,23158.27997,12,0.88590604
90,61,227,2161,23158.27997,15,0.87654321
82,67,226,374,23158.27997,12,0.888586957
83,70,223,506,23158.27997,12,0.88630137
106,53,313,794,23722.84324,10,0.888888889
108,53,321,1582,23722.84324,11,0.891783567
105,47,303,2707,23722.84324,9,0.886975242
110,50,299,1452,23722.84324,9,0.881593111
130,56,361,893,23722.84324,17,0.878731343
196,36,896,2184,27812.43798,7,0.879384615
181,28,878,2942,27812.43798,5,0.886520376
141,36,638,1070,27812.43798,5,0.8771777
255,92,1903,2672,25660.57992,11,0.922350792
222,84,1131,1361,23624.75283,21,0.893779904
226,73,1128,352,23624.75283,22,0.891136802
89,68,577,2127,35491.54168,34,0.932728647
117,47,750,839,13384.80088,7,0.924222798
111,46,729,496,13384.80088,7,0.924847664
112,46,737,1502,13384.80088,7,0.924832215
108,45,690,252,13384.80088,7,0.92296719
245,90,1386,847,26737.12397,24,0.905149051
242,86,1401,1081,26737.12397,23,0.907350689
167,75,746,3399,28056.87549,11,0.915784165
174,71,700,545,28056.87549,12,0.908661417
