경쟁자 수,교육 수,교통 수,버퍼내폐업비율,인허가 영업,인허가 폐업,임대료,집객시설 수,타업종경쟁자
174,199,85,0.519221411,988,1067,1879,15,1881
187,237,90,0.514365153,1048,1110,1276,13,1971
69,280,97,0.482183472,683,636,1123,14,1250
56,102,81,0.521499449,868,946,1218,16,1758
89,103,75,0.512581547,523,550,831,8,984
68,189,168,0.485119048,519,489,1615,7,940
80,96,109,0.472182596,1110,993,1003,11,2023
327,159,37,0.5,436,436,13944,55,545
327,159,37,0.5,436,436,2592,55,545
103,99,81,0.489320388,263,252,1928,21,412
130,98,70,0.480591497,281,260,1747,21,411
509,250,117,0.516712142,1417,1515,2389,20,2423
532,254,119,0.517365662,1473,1579,2157,21,2520
460,248,122,0.519604251,1311,1418,2844,21,2269
610,266,126,0.516565831,1678,1793,2588,22,2861
469,250,122,0.517676768,1337,1435,1354,19,2303
570,256,123,0.520941608,1567,1704,1393,22,2701
449,248,122,0.521706304,1267,1382,2353,19,2200
537,257,123,0.523331173,1471,1615,2060,21,2549
449,248,122,0.521706304,1267,1382,2190,20,2200
538,256,122,0.525478741,1462,1619,2282,20,2543
613,267,130,0.516230968,1684,1797,1592,22,2868
582,256,121,0.517554479,1594,1710,1183,21,2722
512,252,121,0.517615176,1424,1528,2606,20,2440
570,256,123,0.520941608,1567,1704,1393,20,2701
579,256,119,0.517335766,1587,1701,3941,22,2709
580,258,122,0.518799272,1587,1711,2686,22,2718
203,150,108,0.50081103,1231,1235,1017,22,2263
197,157,110,0.500631048,1187,1190,2055,13,2180
202,225,77,0.535616438,339,391,8768,22,528
143,317,100,0.475042064,936,847,4661,18,1640
806,192,60,0.50071286,1751,1756,11154,73,2701
747,155,65,0.497327884,1599,1582,732,74,2434
802,182,60,0.502274019,1751,1767,4498,67,2716
783,203,62,0.4967723,1715,1693,640,88,2625
61,146,114,0.479041916,696,640,1732,17,1275
141,205,51,0.322033898,920,437,1015,16,1216
105,195,45,0.331400966,692,343,1354,11,930
190,28,54,0.389036251,691,440,1129,12,941
149,22,47,0.364908504,590,339,2635,12,780
191,27,54,0.385361552,697,437,1710,13,943
182,21,50,0.380772856,657,404,1160,12,879
146,20,47,0.34422658,602,316,1636,12,772
81,212,46,0.335329341,555,280,1789,11,754
93,203,47,0.335443038,630,318,1679,22,855
81,263,77,0.528781794,1056,1185,2141,13,2160
81,266,84,0.540256709,1182,1389,1080,12,2490
122,243,85,0.531855956,1352,1536,1198,17,2766
90,243,79,0.52645387,1083,1204,774,11,2197
122,218,58,0.321678322,873,414,2770,19,1165
72,190,46,0.327850877,613,299,1005,9,840
80,185,97,0.432114073,916,697,1372,17,1533
80,185,93,0.44549763,936,752,517,18,1608
159,159,58,0.344531808,917,482,1605,9,1240
539,38,59,0.426587302,867,645,974,20,973
620,36,61,0.422551929,973,712,5649,38,1065
671,35,61,0.423163842,1021,749,1155,18,1099
634,36,63,0.424313267,985,726,528,31,1077
132,74,65,0.363304094,871,497,1815,13,1236
105,182,101,0.427604167,1099,821,788,18,1815
1325,264,51,0.515281174,1586,1686,3985,143,1947
1184,251,51,0.519139628,1319,1424,9562,141,1559
1258,252,46,0.516683519,1434,1533,8151,142,1709
1325,264,51,0.515281174,1586,1686,3460,144,1947
1061,248,49,0.52,1188,1287,22602,132,1414
1329,259,53,0.516513761,1581,1689,8063,143,1941
1051,268,47,0.522280209,1190,1301,19982,134,1440
1325,264,51,0.515281174,1586,1686,3767,143,1947
62,173,55,0.335006274,530,267,2817,18,735
460,154,31,0.49777382,564,559,25728,70,663
560,163,32,0.496577947,662,653,18407,77,755
560,163,32,0.496577947,662,653,16958,78,755
573,157,32,0.499242424,661,659,6215,82,747
524,156,32,0.4923572,631,612,8256,77,719
598,156,34,0.5,682,682,1238,87,766
221,49,91,0.338888889,1547,793,3755,30,2119
75,295,84,0.481481481,588,546,1648,15,1059
69,305,93,0.495693031,644,633,419,18,1208
76,295,91,0.485355649,615,580,1830,14,1119
181,81,66,0.413636364,645,455,2935,9,919
481,87,51,0.558257713,1217,1538,900,9,2274
213,117,69,0.372763419,1262,750,4101,9,1799
148,144,104,0.462970983,1240,1069,6196,17,2161
148,144,104,0.462970983,1240,1069,7862,16,2161
148,144,104,0.462970983,1240,1069,1135,16,2161
151,151,98,0.46371308,1271,1099,968,17,2219
148,144,104,0.462970983,1240,1069,4857,16,2161
148,144,104,0.462970983,1240,1069,4300,16,2161
1174,472,41,0.516931583,1398,1496,3347,275,1720
1276,441,46,0.514322917,1492,1580,3264,283,1796
1256,442,45,0.516075017,1445,1541,14696,290,1730
1222,432,44,0.517881706,1402,1506,6982,289,1686
1276,441,46,0.514322917,1492,1580,2549,285,1796
1263,428,46,0.514295213,1461,1547,2190,288,1745
68,166,84,0.447222222,398,322,3319,2,652
68,166,84,0.447222222,398,322,4256,10,652
145,172,95,0.462171053,981,843,1283,12,1679
135,214,99,0.451670644,919,757,1891,13,1541
134,177,99,0.458796026,926,785,2635,11,1577
143,168,98,0.461538462,952,816,700,11,1625
72,149,95,0.514121339,929,983,852,10,1840
44,194,79,0.528571429,396,444,1629,17,796
47,181,115,0.480680062,672,622,479,9,1247
43,178,113,0.476150628,626,569,2430,8,1152
43,178,113,0.476150628,626,569,871,7,1152
53,376,84,0.556338028,567,711,1234,9,1225
75,312,65,0.526592636,810,901,1002,13,1636
726,27,56,0.447051363,872,705,5071,13,851
749,31,62,0.450764526,898,737,10145,16,886
721,30,58,0.446056782,878,707,477,15,864
729,31,60,0.450433705,887,727,2887,14,885
719,30,56,0.446632783,871,703,3631,12,855
747,29,62,0.450834879,888,729,3268,17,870
726,31,58,0.448979592,891,726,987,14,891
726,31,58,0.448979592,891,726,11538,14,891
735,30,57,0.4501868,883,723,4588,13,871
747,33,59,0.451316595,896,737,1684,15,886
731,31,62,0.449846154,894,731,2298,15,894
725,31,58,0.446741855,883,713,4367,13,871
749,33,61,0.45030303,907,743,1278,16,901
164,86,73,0.368018812,1075,626,1272,11,1537
165,90,77,0.370455857,1091,642,7976,9,1568
165,90,77,0.370455857,1091,642,8049,9,1568
56,238,66,0.508760545,757,784,1048,12,1485
23,138,69,0.465020576,130,113,1086,3,220
233,88,71,0.424984691,939,694,1416,11,1400
231,92,76,0.418444166,927,667,5127,8,1363
626,162,91,0.571146802,1522,2027,2169,16,2923
633,180,95,0.570845798,1578,2099,2914,17,3044
655,179,101,0.563655298,1676,2165,17613,16,3186
604,136,78,0.570405728,1440,1912,2931,10,2748
601,129,76,0.565820543,1471,1917,3502,10,2787
627,145,83,0.564030397,1549,2004,2945,12,2926
638,157,85,0.566168328,1567,2045,2437,12,2974
618,153,91,0.573310424,1490,2002,1478,15,2874
596,143,80,0.57108288,1418,1888,2147,10,2710
596,150,86,0.576843352,1429,1948,1588,13,2781
605,149,88,0.575962386,1443,1960,3387,13,2798
599,119,71,0.564878634,1452,1885,2655,11,2738
671,200,108,0.563867684,1714,2216,1930,18,3259
217,92,78,0.386994088,1348,851,7240,9,1982
220,95,79,0.388738739,1357,863,5128,9,2000
227,102,85,0.38239159,1410,873,1895,11,2056
224,87,83,0.390030608,1395,892,2706,16,2063
225,92,78,0.423053342,941,690,3380,10,1406
191,99,88,0.438356164,1025,800,6033,8,1634
197,95,76,0.430827887,1045,791,2510,10,1639
649,274,140,0.521251002,1791,1950,2336,30,3092
752,305,141,0.530612245,1955,2210,1359,31,3413
777,337,156,0.534997771,2086,2400,1705,35,3709
827,333,150,0.544037084,2164,2582,1178,30,3919
697,298,136,0.526873385,1831,2039,865,37,3173
667,313,144,0.529146794,1777,1997,2060,38,3107
667,313,144,0.529146794,1777,1997,1314,37,3107
691,317,150,0.531766529,1813,2059,947,37,3181
244,244,127,0.528918692,1124,1262,701,14,2142
184,432,77,0.439202658,844,661,3017,12,1321
63,176,91,0.318669528,635,297,789,15,869
63,158,84,0.31475029,590,271,2100,17,798
81,221,59,0.480934809,422,391,2413,14,732
