인허가일자,영업상태구분코드,영업상태명,폐업일자,구,법정동,도로명전체주소,사업장명,업태구분명,좌표정보(x),좌표정보(y),행정동명,행정동코드,소재지면적,교통 수,집객시설 수,교육 수,경쟁자 수,인허가 영업,인허가 폐업,인허가 영업+폐업,타업종비율,타업종경쟁자,버퍼내폐업비율,영업기간,아파트 세대수,제곱미터 당 임대료,임대료,총생활인구수,점심저녁시간대 생활인구수,골목상권,발달상권,구분불가,전통시장,관광특구,생존확률,생존여부
20180702,0,영업/정상,,강서구,화곡동,"서울특별시 강서구 강서로17나길 50, 102동 102호 (화곡동, 푸른풍경채)",샌디350,분식,186051.535,448064.018,화곡1동,11500540,28,62,6,173,152,1034,869,1903,0.920126117,1751,0.456647399,1491,2898,32815.28643,918,48426.06878,44660.5002,1,0,0,0,0,0.01625814,0
20210401,0,영업/정상,,강서구,화곡동,"서울특별시 강서구 곰달래로49길 30, 1층 101호 (화곡동, 다솜)",카페 아르떼,분식,187364.3438,447869.0777,화곡2동,11500550,36,108,11,241,155,770,829,1599,0.903064415,1444,0.518449031,487,1036,32815.28643,1191,13081.07094,11514.4938,1,0,0,0,0,0.014836066,0
20190805,0,영업/정상,,강서구,화곡동,"서울특별시 강서구 곰달래로59길 30-1, 1층 (화곡동)",연탄피는남자,분식,187825.4098,447949.1923,화곡4동,11500570,83,95,13,421,161,682,778,1460,0.889726027,1299,0.532876712,1092,7889,32815.28643,2724,16932.09472,15402.92528,1,0,0,0,0,0.014836066,0
20220224,0,영업/정상,,강서구,화곡동,"서울특별시 강서구 등촌로5길 18-4, 글로리아 하우스 1층 103호 (화곡동)",화곡떡볶이,분식,187781.1629,447906.7829,화곡4동,11500570,21,96,13,424,161,679,777,1456,0.889423077,1295,0.533653846,158,7889,32815.28643,703,16932.09472,15402.92528,1,0,0,0,0,0.014836066,0
20200213,0,영업/정상,,강서구,화곡동,"서울특별시 강서구 곰달래로53길 19, 삼정빌딩 1층 (화곡동)",팔동튀김떡볶이,분식,187515.9806,447841.752,화곡4동,11500570,12,100,11,289,147,672,783,1455,0.898969072,1308,0.53814433,900,3860,32815.28643,394,16932.09472,15402.92528,1,0,0,0,0,0.014836066,0
20180130,0,영업/정상,,강서구,화곡동,"서울특별시 강서구 곰달래로53길 15, 1층 (화곡동)",Y.S 푸드,분식,187533.4618,447828.0228,화곡4동,11500570,28,99,11,287,148,676,783,1459,0.898560658,1311,0.536668951,1644,3860,32815.28643,935,16932.09472,15402.92528,1,0,0,0,0,0.014836066,0
20210308,0,영업/정상,,강서구,화곡동,"서울특별시 강서구 곰달래로53길 19, 삼정빌딩 1층 (화곡동)",덕복희집,분식,187515.9806,447841.752,화곡4동,11500570,12,100,11,289,147,672,783,1455,0.898969072,1308,0.53814433,511,3860,32815.28643,394,16932.09472,15402.92528,1,0,0,0,0,0.014836066,0
20210729,0,영업/정상,,강서구,화곡동,"서울특별시 강서구 화곡로 205-4, 지하1층 (화곡동)",광장노리터,분식,186073.7881,449102.8493,화곡본동,11500590,40,89,13,208,120,783,680,1463,0.91797676,1343,0.46479836,368,7495,32815.28643,1313,28251.1163,24634.25263,1,0,0,0,0,0.01625814,0
20190412,0,영업/정상,,강서구,화곡동,"서울특별시 강서구 곰달래로 195, 풍한빌딩 4층 (화곡동)",애니팡팡,분식,187079.5765,447695.6121,화곡2동,11500550,50,104,13,226,151,861,843,1704,0.911384977,1553,0.49471831,1207,2232,32815.28643,1624,13081.07094,11514.4938,1,0,0,0,0,0.01625814,0
20191125,0,영업/정상,,강서구,화곡동,"서울특별시 강서구 곰달래로47길 24, 1층 102호 (화곡동)",타코볼타코야끼,분식,187310.6451,447837.9007,화곡2동,11500550,31,109,11,243,162,812,849,1661,0.902468393,1499,0.511137869,980,1036,32815.28643,1033,13081.07094,11514.4938,1,0,0,0,0,0.014836066,0
20201126,0,영업/정상,,강서구,화곡동,"서울특별시 강서구 곰달래로 161, 1층 (화곡동)",신참떡볶이,분식,186751.9435,447645.579,화곡8동,11500593,39,91,10,220,122,695,621,1316,0.907294833,1194,0.471884498,613,1299,32815.28643,1268,26692.9661,25464.58186,1,0,0,0,0,0.01625814,0
20200727,0,영업/정상,,구로구,구로동,"서울특별시 구로구 구로중앙로 152, 지하1층 (구로동)",청담동 마녀김밥 구로점,분식,189570.3609,444336.0513,구로2동,11530530,25,97,20,172,167,855,854,1709,0.902282036,1542,0.499707431,735,11694,34304.468,873,33510.83458,34851.63155,1,0,0,0,0,0.014836066,0
20200825,0,영업/정상,,구로구,구로동,"서울특별시 구로구 구로중앙로 152, NC백화점 지하1층 (구로동)",101번지 남산돈까스 NC신구로점,분식,189570.3609,444336.0513,구로2동,11530530,56,97,20,172,167,855,854,1709,0.902282036,1542,0.499707431,706,11694,34304.468,1928,33510.83458,34851.63155,1,0,0,0,0,0.014836066,0
20210913,0,영업/정상,,구로구,구로동,"서울특별시 구로구 구로중앙로 152, NC백화점 6층 (구로동)",마뇨떡볶이 NC신구로점,분식,189570.3609,444336.0513,구로2동,11530530,180,97,20,172,167,855,854,1709,0.902282036,1542,0.499707431,322,11694,34304.468,6192,33510.83458,34851.63155,1,0,0,0,0,0.014836066,0
20190104,0,영업/정상,,구로구,구로동,"서울특별시 구로구 새말로 18, 백봉빌딩 1층 (구로동)",통통김밥,분식,189599.6287,444421.4789,구로2동,11530530,26,93,21,174,170,875,876,1751,0.902912621,1581,0.500285551,1305,13756,34304.468,906,33510.83458,34851.63155,1,0,0,0,0,0.014836066,0
