경쟁자 수,교육 수,교통 수,버퍼내폐업비율,아파트 세대수,임대료,점심저녁시간대 생활인구수,집객시설 수,타업종경쟁자,타업종비율
103,159,37,0.5,11385,1663,49970.30897,54,769,0.881880734
288,247,117,0.517090909,2345,1647,92063.85439,20,2462,0.895272727
325,265,124,0.515497076,2584,1921,92063.85439,22,3095,0.90497076
291,253,124,0.521315029,2345,3454,92063.85439,19,2477,0.894869942
277,246,119,0.517306245,2345,916,92063.85439,21,2381,0.895786305
338,271,133,0.516065389,3224,2787,92063.85439,22,3210,0.904735062
277,246,119,0.517306245,2345,1314,92063.85439,21,2381,0.895786305
306,250,121,0.523713421,2584,2224,92063.85439,20,2667,0.897073663
285,248,123,0.520599251,2345,2561,92063.85439,20,2385,0.893258427
279,244,118,0.515429831,2345,1788,92063.85439,21,2443,0.897501837
329,258,123,0.518184551,2584,2786,92063.85439,21,2998,0.901112113
290,247,119,0.518149466,2345,2502,92063.85439,20,2520,0.896797153
325,265,124,0.515497076,2584,1499,92063.85439,22,3095,0.90497076
42,114,68,0.487152034,7083,934,23667.05304,7,892,0.95503212
143,141,106,0.501204819,3191,1980,21672.99278,14,2347,0.942570281
136,146,105,0.499374218,3710,753,21672.99278,14,2261,0.943262411
118,305,92,0.460988684,13099,516,25603.0493,18,1561,0.929720071
31,100,88,0.503816794,2872,1996,18743.02733,8,755,0.960559796
265,143,64,0.502576538,3887,1930,134994.9088,71,3034,0.919672628
265,143,64,0.502576538,3887,1271,134994.9088,70,3034,0.919672628
64,149,116,0.486153846,6318,943,15470.6481,16,1236,0.950769231
43,116,81,0.448412698,9790,1907,34226.22895,10,713,0.943121693
86,214,46,0.334075724,8721,1005,19131.085,13,812,0.904231626
78,196,39,0.338481338,8407,2095,19131.085,7,699,0.8996139
86,200,43,0.35147929,9280,1397,19131.085,9,759,0.898224852
112,204,50,0.318672199,9585,2342,19131.085,14,1093,0.907053942
78,196,39,0.338481338,8407,1047,19131.085,7,699,0.8996139
110,269,83,0.525290371,9218,2321,25722.93911,14,2559,0.958786062
149,219,82,0.522791024,6605,670,23320.92604,19,2703,0.947755961
115,185,93,0.44549763,13867,3609,60114.13685,18,1573,0.931872038
115,185,93,0.44549763,13867,516,60114.13685,20,1573,0.931872038
120,159,58,0.344531808,7648,1530,23329.60797,10,1279,0.914224446
113,149,52,0.328347046,7993,1354,23329.60797,9,1224,0.915482423
124,45,71,0.335224793,1032,1052,14060.3669,24,2167,0.945875164
