인허가일자,영업상태구분코드,영업상태명,폐업일자,구,법정동,도로명전체주소,사업장명,업태구분명,좌표정보(x),좌표정보(y),행정동명,행정동코드,소재지면적,교통 수,집객시설 수,교육 수,경쟁자 수,인허가 영업,인허가 폐업,인허가 영업+폐업,타업종비율,타업종경쟁자,버퍼내폐업비율,영업기간,아파트 세대수,제곱미터 당 임대료,임대료,총생활인구수,점심저녁시간대 생활인구수,골목상권,발달상권,구분불가,전통시장,관광특구,생존확률,생존예측
20210622,0,영업/정상,,강동구,성내동,"서울특별시 강동구 올림픽로 572, 101동 1층 101-1호 (성내동, 코오롱 2차아파트)",일상초밥 영파여고점,일식,210694.9893,447815.9863,성내1동,11740640,14,66,15,190,110,840,952,1792,0.938616071,1682,0.53125,405,7310,29143.65667,412,23611.60072,23320.92604,0,1,0,0,0,0.065798886,0
20200911,0,영업/정상,,강동구,성내동,"서울특별시 강동구 성내로5길 15, 1층 101호 (성내동, (주)플라스틱과사람들)",라멘 이즈 라이프,일식,210833.7796,447601.4677,성내1동,11740640,43,55,12,196,95,788,895,1683,0.943553179,1588,0.531788473,689,7257,29143.65667,1247,23611.60072,23320.92604,0,1,0,0,0,0.065798886,0
20190722,0,영업/정상,,양천구,신정동,"서울특별시 양천구 중앙로36길 10, 1층 (신정동)",참치가 좋은날,일식,187113.803,446351.7615,신정3동,11470640,50,68,11,437,78,512,650,1162,0.932874355,1084,0.559380379,1106,21869,33415.41042,1671,42070.03564,37988.80625,0,1,0,0,0,0.065798886,0
20220331,0,영업/정상,,양천구,신정동,"서울특별시 양천구 중앙로46길 9-1, 1층 (신정동)",참치어신,일식,186957.3086,446680.2064,신정3동,11470640,25,64,12,308,75,648,751,1399,0.946390279,1324,0.536812009,123,15761,33415.41042,837,42070.03564,37988.80625,0,1,0,0,0,0.065798886,0
20190527,0,영업/정상,,광진구,구의동,"서울특별시 광진구 아차산로65길 11, 1층 (구의동)",은희네양꼬치,일식,208227.6842,448746.8247,구의3동,11215870,25,62,10,305,70,510,221,731,0.904240766,661,0.302325581,1162,11144,31649.76833,798,29272.37462,31098.29863,0,1,0,0,0,0.069966026,0
20220422,0,영업/정상,,관악구,봉천동,"서울특별시 관악구 관악로24길 14, 호삼빌딩 지하1층 11호 (봉천동)",온밥,일식,195999.6632,442420.8399,행운동,11620575,14,74,13,219,156,1036,1082,2118,0.926345609,1962,0.510859301,101,11622,34241.72278,479,23010.39003,20626.42224,0,1,0,0,0,0.065798886,0
20211027,0,영업/정상,,관악구,봉천동,"서울특별시 관악구 관악로 233, 금성빌딩 지하1층 B01호 (봉천동)",박초밥 은천삼거리점,일식,195997.0383,442590.3011,행운동,11620575,65,81,15,282,147,940,1006,1946,0.924460432,1799,0.516957862,278,16277,34241.72278,2226,23010.39003,20626.42224,0,1,0,0,0,0.065798886,0
20171222,0,영업/정상,,관악구,봉천동,"서울특별시 관악구 관악로 224, 1층 (봉천동)",바론참치,일식,196005.5401,442483.6047,행운동,11620575,26,78,15,234,150,1002,1057,2059,0.927149102,1909,0.513355998,1683,15166,34241.72278,890,23010.39003,20626.42224,0,1,0,0,0,0.065798886,0
20211014,0,영업/정상,,관악구,봉천동,"서울특별시 관악구 양녕로6나길 18, 제상가동 제1층 103호 (봉천동, 신봉아파트)",It's 초밥 (이츠 초밥),일식,195478.0992,442528.0462,중앙동,11620615,23,91,14,277,165,1120,1231,2351,0.929817099,2186,0.523606976,291,18180,34241.72278,804,15603.41715,15225.36949,0,1,0,0,0,0.065798886,0
20220114,0,영업/정상,,관악구,봉천동,"서울특별시 관악구 봉천로 459, 1층 (봉천동)",오마카세 히토리,일식,195606.1423,442265.2975,청룡동,11620595,21,84,15,210,169,1176,1247,2423,0.930251754,2254,0.514651259,199,7175,34241.72278,729,38413.0514,36338.43718,0,1,0,0,0,0.065798886,0
