인허가일자,영업상태구분코드,영업상태명,폐업일자,구,법정동,도로명전체주소,사업장명,업태구분명,좌표정보(x),좌표정보(y),행정동명,행정동코드,소재지면적,교통 수,집객시설 수,교육 수,경쟁자 수,인허가 영업,인허가 폐업,인허가 영업+폐업,타업종비율,타업종경쟁자,버퍼내폐업비율,영업기간,아파트 세대수,제곱미터 당 임대료,임대료,총생활인구수,점심저녁시간대 생활인구수,골목상권,발달상권,구분불가,전통시장,관광특구,생존확률,생존여부
20170824,0,영업/정상,,강남구,논현동,"서울특별시 강남구 논현로115길 7, 지상1층 (논현동)",603딜리버리본점,경양식,202804.8435,445181.004,역삼1동,11680640,41,80,197,285,854,1879,1953,3832,0.777139875,2978,0.509655532,1803,2122,38504.3175,1591,108753.4728,134994.9088,0,1,0,0,0,0.018188339,0
20210604,0,영업/정상,,서초구,방배동,"서울특별시 서초구 동광로1길 112, 상가동 1층 106호 (방배동, 롯데캐슬헤론)",썸머그린(Summer Green),경양식,198542.4874,443859.3596,방배본동,11650590,40,77,13,318,109,348,405,753,0.855245684,644,0.537848606,423,11909,34658.0905,1389,18367.29344,17509.8567,0,1,0,0,0,0.018188339,0
20201208,0,영업/정상,,서초구,방배동,"서울특별시 서초구 동광로1길 93-1, 1층 101호 (방배동, 엠하우스)",라라퀴진,경양식,198490.7074,443754.3884,방배본동,11650590,31,83,13,287,118,448,496,944,0.875,826,0.525423729,601,12805,34658.0905,1072,18367.29344,17509.8567,0,1,0,0,0,0.018188339,0
20220211,0,영업/정상,,강서구,마곡동,"서울특별시 강서구 강서로 447, 미르웰플러스오피스텔 1층 120호 (마곡동)",카페동네 마곡점,경양식,185817,451484,등촌3동,11500535,53,84,6,247,156,783,621,1404,0.888888889,1248,0.442307692,171,9832,40166.2525,2130,39779.1394,42257.62962,0,1,0,0,0,0.018188339,0
20220125,0,영업/정상,,강서구,마곡동,"서울특별시 강서구 강서로 447, 미르웰플러스오피스텔 1층 107호 (마곡동)",Manna Pasta(만나 파스타),경양식,185817,451484,등촌3동,11500535,41,84,8,247,156,783,621,1404,0.888888889,1248,0.442307692,188,9832,40166.2525,1664,39779.1394,42257.62962,0,1,0,0,0,0.018188339,0
20200909,0,영업/정상,,강서구,마곡동,"서울특별시 강서구 강서로 447, 미르웰플러스오피스텔 1층 108, 109호 (마곡동)",도미노피자 등촌가양점,경양식,185817,451484,등촌3동,11500535,83,84,6,247,156,783,621,1404,0.888888889,1248,0.442307692,691,9832,40166.2525,3327,39779.1394,42257.62962,0,1,0,0,0,0.018188339,0
20201201,0,영업/정상,,강서구,마곡동,"서울특별시 강서구 강서로 447, 미르웰플러스오피스텔 1층 103~104호 (마곡동)",맘스터치 양천향교역점,경양식,185817,451484,등촌3동,11500535,83,84,6,247,156,783,621,1404,0.888888889,1248,0.442307692,608,9832,40166.2525,3327,39779.1394,42257.62962,0,1,0,0,0,0.018188339,0
20190304,0,영업/정상,,강서구,마곡동,"서울특별시 강서구 강서로 419, 유림트윈파크 1층 108호 (마곡동)",샌드베리(Sand berry),경양식,185738,451212,가양1동,11500603,28,79,10,311,185,883,702,1585,0.883280757,1400,0.442902208,1246,11651,40166.2525,1122,50116.53758,55247.40565,0,1,0,0,0,0.018188339,0
20220110,0,영업/정상,,강서구,마곡동,"서울특별시 강서구 강서로 439, 벨리오 1층 105호 (마곡동)",시시시 마곡점,경양식,185793,451408,가양1동,11500603,35,83,8,262,167,797,643,1440,0.884027778,1273,0.446527778,203,9832,40166.2525,1419,50116.53758,55247.40565,0,1,0,0,0,0.018188339,0
20171027,0,영업/정상,,강서구,마곡동,"서울특별시 강서구 강서로 433, 1층 119~120호 (마곡동, 가양 1동 마곡오드카운티2차)",커피101스트릿마곡오드카운티,경양식,185775,451367,가양1동,11500603,51,82,7,272,170,811,651,1462,0.88372093,1292,0.445280438,1739,9832,40166.2525,2046,50116.53758,55247.40565,0,1,0,0,0,0.018188339,0
20211012,0,영업/정상,,강서구,마곡동,"서울특별시 강서구 강서로 409, 엘리안 1층 101호 (마곡동)",비스트로 피자 서울마곡발산점,경양식,185720,451117,가양1동,11500603,41,73,10,339,187,895,698,1593,0.882611425,1406,0.438166981,293,12815,40166.2525,1635,50116.53758,55247.40565,0,1,0,0,0,0.018188339,0
20211102,0,영업/정상,,강서구,마곡동,"서울특별시 강서구 강서로 405, 우성르보아 1층 104호 (마곡동)",꼬꼬번 피자치킨 마곡발산점,경양식,185706,451076,가양1동,11500603,56,72,10,357,187,884,687,1571,0.880967537,1384,0.437301082,272,13002,40166.2525,2240,50116.53758,55247.40565,0,1,0,0,0,0.018188339,0
20200702,0,영업/정상,,강서구,마곡동,"서울특별시 강서구 강서로 433, 마곡오드카운티2차 1층 123호 (마곡동)",베이직샐러드(BasicSalad),경양식,185775,451367,가양1동,11500603,23,82,11,272,170,811,651,1462,0.88372093,1292,0.445280438,760,9832,40166.2525,931,50116.53758,55247.40565,0,1,0,0,0,0.018188339,0
20180914,0,영업/정상,,강서구,마곡동,"서울특별시 강서구 강서로 429, 마곡오드카운티1차 1층 106호 (마곡동)",유로코피자,경양식,185761,451315,가양1동,11500603,33,79,9,294,171,816,648,1464,0.883196721,1293,0.442622951,1417,9042,40166.2525,1337,50116.53758,55247.40565,0,1,0,0,0,0.018188339,0
20201106,0,영업/정상,,강서구,마곡동,"서울특별시 강서구 강서로 405, 우성르보아 1층 102호 (마곡동)",망고,경양식,185706,451076,가양1동,11500603,45,72,10,357,187,884,687,1571,0.880967537,1384,0.437301082,633,13002,40166.2525,1802,50116.53758,55247.40565,0,1,0,0,0,0.018188339,0
20190830,0,영업/정상,,강서구,마곡동,"서울특별시 강서구 마곡중앙6로 45, 리더스퀘어마곡 102,103호 (마곡동)",피맥하우스 마곡점,경양식,185144,450938,발산1동,11500611,71,81,9,360,156,789,547,1336,0.883233533,1180,0.409431138,1067,10984,40166.2525,2867,35327.64984,35286.78995,0,1,0,0,0,0.018188339,0
20220204,0,영업/정상,,강서구,마곡동,"서울특별시 강서구 마곡중앙6로 63, 마곡테크노타워 3층 303호 (마곡동)",카페/바 깔루아,경양식,185297,450920,발산1동,11500611,72,76,12,364,164,813,600,1413,0.88393489,1249,0.42462845,178,10297,40166.2525,2892,35327.64984,35286.78995,0,1,0,0,0,0.018188339,0
20180319,0,영업/정상,,강서구,마곡동,"서울특별시 강서구 마곡중앙6로 45, 리더스퀘어마곡 1층 116호 (마곡동)",빈스(Bin's),경양식,185144,450938,발산1동,11500611,44,81,8,360,156,789,547,1336,0.883233533,1180,0.409431138,1596,10984,40166.2525,1757,35327.64984,35286.78995,0,1,0,0,0,0.018188339,0
20180723,0,영업/정상,,강서구,마곡동,"서울특별시 강서구 마곡중앙6로 63, 마곡테크노타워 1층 106,107호 (마곡동)",마곡테이블,경양식,185297,450920,발산1동,11500611,87,76,9,364,164,813,600,1413,0.88393489,1249,0.42462845,1470,10297,40166.2525,3511,35327.64984,35286.78995,0,1,0,0,0,0.018188339,0
20170921,0,영업/정상,,강서구,마곡동,"서울특별시 강서구 마곡동로 62, 마곡사이언스타워 1층 119~120호 (마곡동)",바스버거 마곡,경양식,185247,450934,발산1동,11500611,92,80,9,360,157,809,592,1401,0.887937188,1244,0.422555318,1775,10297,40166.2525,3680,35327.64984,35286.78995,0,1,0,0,0,0.018188339,0
20170824,0,영업/정상,,강서구,마곡동,"서울특별시 강서구 마곡중앙6로 45, 1층 117호 (마곡동, 가양 1동 리더스퀘어마곡)",티에리,경양식,185144,450938,발산1동,11500611,44,81,9,360,156,789,547,1336,0.883233533,1180,0.409431138,1803,10984,40166.2525,1777,35327.64984,35286.78995,0,1,0,0,0,0.018188339,0
20170811,0,영업/정상,,강서구,마곡동,"서울특별시 강서구 마곡동로 62, 1층 115호 (마곡동, 가양 1동 마곡사이언스타워)",카페가토,경양식,185247,450934,발산1동,11500611,49,80,8,360,157,809,592,1401,0.887937188,1244,0.422555318,1816,10297,40166.2525,1985,35327.64984,35286.78995,0,1,0,0,0,0.018188339,0
20171024,0,영업/정상,,강서구,마곡동,"서울특별시 강서구 마곡중앙6로 45, 3층 301호 (마곡동, 가양 1동 리더스퀘어마곡)",써스티몽크 마곡점(Thirsty Monk),경양식,185144,450938,발산1동,11500611,125,81,8,360,156,789,547,1336,0.883233533,1180,0.409431138,1742,10984,40166.2525,5037,35327.64984,35286.78995,0,1,0,0,0,0.018188339,0
